Date,Bullish,Neutral,Bearish,T+1,T+2,T+3,T+4,Bu_Be_Ne,Strength,Bu<->Be,Spread,MatchT+1,MatchT+2,MatchT+3,MatchT+4
2019-07-18,0.359296,0.354271,0.286432,-0.0061767347442999165,0.0028287212634507952,0.006847502370160408,0.00468811866363672,Bu,Moderate,0.07286399999999998,Low,N,Y,Y,Y
2019-08-01,0.384375,0.375,0.240625,-0.0072827367651240316,-0.02977780051499812,0.013017006826634425,0.0007668897934256513,Bu,Moderate,0.14375000000000002,Low,N,N,Y,Y
2019-08-08,0.216561,0.301486,0.481953,-0.006616543400644659,-0.012183715073749823,0.01499432900117581,-0.02929276360753441,Be,Strong,0.265392,Mid,Y,Y,N,Y
2019-08-15,0.23176,0.319742,0.448498,0.014426183452732166,0.012105875347909967,-0.007914764079147596,0.008246825558263726,Be,Strong,0.21673800000000001,Mid,N,N,Y,N
2019-08-22,0.266355,0.336449,0.397196,-0.025946389777450785,0.010983067039910699,-0.0032031906836484936,0.006545469754213773,Be,Moderate,0.13084099999999999,Low,Y,N,Y,N
2019-08-29,0.261307,0.316583,0.422111,0.0006428273461489553,-0.006899120439028739,0.010842075925499017,0.013009823744460025,Be,Strong,0.160804,Mid,N,Y,N,N
2019-09-05,0.28642,0.318519,0.395062,0.0009106182795699524,-9.400042300200528e-05,0.00032231746255573235,0.0072296678179091245,Be,Moderate,0.10864200000000002,Low,N,Y,N,N
2019-10-03,0.21374,0.391858,0.394402,0.014216853396000317,-0.004478304612789308,-0.015560826054260457,0.009104546742895181,Be,Moderate,0.18066199999999996,Mid,N,Y,Y,N
2019-10-10,0.203085,0.357326,0.439589,0.010938930544257763,-0.001387079289088211,0.009955666436289423,-0.0019995460129251796,Be,Strong,0.23650400000000002,Mid,N,Y,N,Y
2019-11-07,0.403023,0.357683,0.239295,0.002560628553277322,-0.001962445200253349,0.001564620781921544,0.0007115504036430131,Bu,Moderate,0.163728,Mid,Y,N,Y,Y
2019-11-14,0.407229,0.344578,0.248193,0.007695462486638771,0.0005031309486422941,-0.000592563172038818,-0.0037561935529359936,Bu,Moderate,0.159036,Mid,Y,Y,N,N
2019-12-12,0.376316,0.363158,0.260526,7.258794976916505e-05,0.007147816208028068,0.00033527080167328194,-0.000432260408705365,Bu,Moderate,0.11579,Low,Y,Y,Y,N
